UPZ y Localidad,Sin estrato *,1. Bajo - bajo,2. Bajo,3. Medio - bajo,4. Medio,5. Medio - Alto,6. Alto,Latitud,Longitud,Habitantes por km²,Población con ajuste por omisión 2018,Estrato 1 Año 2018,Estrato 2 año 2018,Estrato 3 año 2018,Estrato 4 Año 2018,Estrato 5 año 2018,Estrato 6 Año 2018,Paquetes por UPZ,Precio promedio por m² por UPZ,Paquetes/Precio
1 Paseo de los Libertadores,198,10,2.587,0,0,0,702,4.796,-74.034,681,2.511,149,1858,0,0,0,504,13283,2775093,"0,0047865"
2 La Academia,221,0,8,0,0,334,310,4.786,-74.049,156,516,131,5,0,0,197,183,4867,5211913,"0,0009339"
3 Guaymaral,14,0,0,0,2,0,152,4.814,-74.066,394,2.028,169,0,0,24,0,1835,27837,7369048,"0,0037775"
9 Verbenal,78,5.319,21.935,62.885,3.854,5.288,0,4.765,-74.038,"29,54",112.483,6110,24832,71191,4363,5986,0,522606,2099151,"0,2489608"
10 La Uribe,135,7,543,12.136,4.566,0,0,4.752,-74.045,5228,30.815,252,962,21509,8092,0,0,159236,2501438,"0,0636578"
11 San Cristóbal Norte,4.482,12.596,5.036,51.088,0,0,131,4.734,-74.017,25034,67.984,15832,4669,47362,0,0,121,268468,1743499,"0,1539822"
12 Toberín,159,0,565,16.955,34.597,0,0,4.747,-74.047,17257,57.954,176,626,18797,38355,0,0,326167,3315183,"0,0983858"
13 Los Cedros,328,114,0,0,81.283,17.760,3.312,4.724,-74.035,15293,124.968,537,0,0,98814,21590,4026,869720,4375128,"0,1987873"
14 Usaquén,1.121,0,2.317,1.917,4.609,17.140,14.974,4.695,-74.030,8406,39.288,1047,2163,1790,4303,16004,13981,412059,5725759,"0,0719658"
15 Country Club,0,0,0,0,0,13.207,11.447,4.708,-74.037,8246,24.006,0,0,0,0,12860,11146,295791,6660765,"0,0444079"
16 Santa Bárbara,19,0,0,0,0,8.872,42.330,4.702,-74.044,11006,67.749,25,0,0,0,11735,55989,957209,7564378,"0,1265417"
17 San José de Bavaria,6,0,0,17.154,27.079,4.036,0,4.762,-74.055,13754,50.120,6,0,17810,28114,4190,0,299640,3414355,"0,0877590"
18 Britalia,13,0,258,48.773,10.619,0,0,4.748,-74.057,20228,83.109,18,359,67940,14792,0,0,429546,2353586,"0,1825069"
19 El Prado,941,0,165,28.879,47.240,12.175,0,4.726,-74.056,26563,98.655,1038,182,31869,52130,13435,0,608065,3522025,"0,1726463"
20 La Alhambra,9,0,0,0,243,35.835,0,4.702,-74.060,18038,39.323,10,0,0,265,39048,0,392083,5488777,"0,0714335"
21 Los Andes,3.257,0,0,11.438,24.041,8.017,0,4.683,-74.066,19253,26.945,1877,0,6592,13855,4620,0,164174,3558927,"0,0461302"
22 Doce de Octubre,456,0,0,39.560,59.441,0,0,4.672,-74.077,33399,65.101,298,0,25895,38908,0,0,363219,3190726,"0,1138359"
23 Casa Blanca Suba,356,0,2.812,2.166,21.464,10.292,807,4.746,-74.070,9842,52.770,496,3916,3016,29888,14331,1124,366817,4164551,"0,0880807"
24 Niza,690,5,38,8.339,9.081,39.655,6.754,4.711,-74.073,11704,80.906,871,48,10450,11380,49694,8464,745437,5047683,"0,1476791"
25 La Floresta,59,0,0,2.227,20.595,2.045,0,4.692,-74.074,9042,40.953,97,0,3659,33837,3360,0,255014,3937274,"0,0647692"
26 Las Ferias,1.276,0,0,102.441,7.442,0,0,4.688,-74.085,25250,98.319,1129,0,90608,6582,0,0,493663,2122419,"0,2325945"
27 Suba,3.060,28,35.759,91.667,9.089,187,356,4.750,-74.088,23410,162.335,3577,41421,106180,10528,217,412,730261,2000007,"0,3651291"
